country_from,country_to,S.No.,HSCode,Commodity,2023-2024,2024-2025,%Growth
India,Canada,94,96,MISCELLANEOUS MANUFACTURED ARTICLES.,4.63,5.66,22.21
India,Canada,95,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.55,0.88,59.62
India,Canada,96,98,PROJECT GOODS; SOME SPECIAL USES.,0.04,0.01,-87.05
India,Canada,97,99,MISCELLANEOUS GOODS.,0.00,0.00,5.29
India,Chile,1,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.26,0.00,n/a
India,Chile,2,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.01,0.39,5982.83
India,Chile,3,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0.00,0.00,-92.66
India,Chile,4,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.04,0.05,19.98
India,Chile,5,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,3.77,3.46,-8.34
India,Chile,6,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.14,0.41,183.01
India,Chile,7,9,"COFFEE, TEA, MATE AND SPICES.",5.98,5.63,-5.77
India,Chile,8,10,CEREALS.,3.02,0.80,-73.5
India,Chile,9,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.55,0.23,-58.41
India,Chile,10,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",1.14,1.76,54.62
India,Chile,11,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",3.66,2.90,-20.75
India,Chile,12,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.00,0.00,-81.93
India,Chile,13,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,4.05,12.75,214.36
India,Chile,14,17,SUGARS AND SUGAR CONFECTIONERY.,4.25,0.31,-92.7
India,Chile,15,18,COCOA AND COCOA PREPARATIONS.,0.01,0.03,98.41
India,Chile,16,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.15,1.41,22.43
India,Chile,17,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",1.56,1.50,-3.78
India,Chile,18,21,MISCELLANEOUS EDIBLE PREPARATIONS.,1.04,1.25,20.37
India,Chile,19,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.23,0.44,86.82
India,Chile,20,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,23.50,12.93,-44.98
India,Chile,21,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,4.22,0.98,-76.87
India,Chile,22,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.11,0.10,-9.17
India,Chile,23,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",5.46,5.03,-7.94
India,Chile,24,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",4.13,1.83,-55.62
India,Chile,25,29,ORGANIC CHEMICALS,34.87,28.48,-18.32
India,Chile,26,30,PHARMACEUTICAL PRODUCTS,190.30,211.43,11.1
India,Chile,27,31,FERTILISERS.,0.44,0.04,-90.37
India,Chile,28,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",6.48,8.59,32.44
India,Chile,29,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",7.92,10.02,26.56
India,Chile,30,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.74,1.55,109.27
India,Chile,31,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.29,0.69,133.54
India,Chile,32,36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.54,0.57,4.63
India,Chile,33,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.00,0.00,n/a
India,Chile,34,38,MISCELLANEOUS CHEMICAL PRODUCTS.,11.77,12.96,10.1
India,Chile,35,39,PLASTIC AND ARTICLES THEREOF.,29.91,35.27,17.91
India,Chile,36,40,RUBBER AND ARTICLES THEREOF.,12.97,15.11,16.46
India,Chile,37,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.00,0.00,n/a
India,Chile,38,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",27.17,26.47,-2.61
India,Chile,39,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.05,0.00,n/a
India,Chile,40,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.86,0.73,-14.78
India,Chile,41,45,CORK AND ARTICLES OF CORK.,0.00,0.00,-20.85
India,Chile,42,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.07,0.13,82.55
India,Chile,43,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2.12,2.26,6.48
India,Chile,44,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",1.15,0.21,-82.06
India,Chile,45,50,SILK,0.01,0.01,14.76
India,Chile,46,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",2.91,2.35,-19.5
India,Chile,47,52,COTTON.,12.00,14.96,24.61
India,Chile,48,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,1.09,1.41,28.87
India,Chile,49,54,MAN-MADE FILAMENTS.,2.85,2.38,-16.44
India,Chile,50,55,MAN-MADE STAPLE FIBRES.,11.67,11.31,-3.03
India,Chile,51,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",19.48,28.35,45.49
India,Chile,52,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,6.02,7.26,20.54
India,Chile,53,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,0.08,0.08,9.98
India,Chile,54,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.96,1.55,62.27
India,Chile,55,60,KNITTED OR CROCHETED FABRICS.,0.03,0.04,45.14
India,Chile,56,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",12.48,14.22,14.0
India,Chile,57,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",24.26,24.51,1.03
India,Chile,58,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,34.87,43.68,25.27
India,Chile,59,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",13.14,17.61,33.98
India,Chile,60,65,HEADGEAR AND PARTS THEREOF.,2.84,3.37,18.48
India,Chile,61,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.09,0.01,-94.26
India,Chile,62,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,0.02,0.06,216.31
India,Chile,63,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",1.79,1.68,-6.56
India,Chile,64,69,CERAMIC PRODUCTS.,7.95,5.61,-29.42
India,Chile,65,70,GLASS AND GLASSWARE.,1.00,2.11,110.24
India,Chile,66,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",1.38,1.12,-18.64
India,Chile,67,72,IRON AND STEEL,10.83,12.99,19.93
India,Chile,68,73,ARTICLES OF IRON OR STEEL,119.11,83.21,-30.14
India,Chile,69,74,COPPER AND ARTICLES THEREOF.,0.87,0.84,-4.46
India,Chile,70,75,NICKEL AND ARTICLES THEREOF.,0.01,0.04,375.4
India,Chile,71,76,ALUMINIUM AND ARTICLES THEREOF.,11.03,1.42,-87.1
India,Chile,72,78,LEAD AND ARTICLES THEREOF.,0.00,0.02,n/a
India,Chile,73,79,ZINC AND ARTICLES THEREOF.,0.00,0.00,-23.1
India,Chile,74,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.00,0.00,-90.62
India,Chile,75,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",11.64,15.59,33.94
India,Chile,76,83,MISCELLANEOUS ARTICLES OF BASE METAL.,2.35,2.21,-5.93
India,Chile,77,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",55.83,53.37,-4.41
India,Chile,78,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",79.25,50.65,-36.09
India,Chile,79,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.01,0.00,n/a
India,Chile,80,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",323.51,323.07,-0.14
India,Chile,81,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.02,0.02,-36.92
India,Chile,82,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",6.74,9.72,44.18
India,Chile,83,91,CLOCKS AND WATCHES AND PARTS THEREOF.,0.04,0.03,-2.87
India,Chile,84,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.01,0.01,-17.37
India,Chile,85,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",3.28,3.72,13.47
India,Chile,86,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",1.28,1.33,4.46
India,Chile,87,96,MISCELLANEOUS MANUFACTURED ARTICLES.,4.19,3.21,-23.32
India,Chile,88,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.01,0.00,-87.17
India,Chile,89,98,PROJECT GOODS; SOME SPECIAL USES.,0.03,0.00,-84.51
India,Chile,90,99,MISCELLANEOUS GOODS.,0.00,0.00,-30.93
India,Chaina p rp,1,2,MEAT AND EDIBLE MEAT OFFAL.,0.08,0.00,n/a
India,Chaina p rp,2,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1212.03,1093.82,-9.75
India,Chaina p rp,3,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.02,0.06,229.13
India,Chaina p rp,4,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",2.88,2.38,-17.41
India,Chaina p rp,5,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,1.13,1.61,42.41
India,Chaina p rp,6,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,93.78,121.93,30.02
India,Chaina p rp,7,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,7.35,4.96,-32.51
India,Chaina p rp,8,9,"COFFEE, TEA, MATE AND SPICES.",766.57,654.02,-14.68
India,Chaina p rp,9,10,CEREALS.,28.57,86.04,201.18
India,Chaina p rp,10,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.17,0.12,-28.45
India,Chaina p rp,11,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",62.30,44.64,-28.35
India,Chaina p rp,12,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",45.19,72.90,61.34
India,Chaina p rp,13,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,14.16,9.22,-34.86
India,Chaina p rp,14,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,698.29,866.65,24.11
India,Chaina p rp,15,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.66,1.46,-12.15
India,Chaina p rp,16,17,SUGARS AND SUGAR CONFECTIONERY.,13.01,38.31,194.48
India,Chaina p rp,17,18,COCOA AND COCOA PREPARATIONS.,0.40,0.33,-19.53
India,Chaina p rp,18,19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",3.42,2.65,-22.43
India,Chaina p rp,19,20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",13.68,10.38,-24.09
India,Chaina p rp,20,21,MISCELLANEOUS EDIBLE PREPARATIONS.,5.57,7.42,33.35
India,Chaina p rp,21,22,"BEVERAGES, SPIRITS AND VINEGAR.",0.88,1.09,23.67
India,Chaina p rp,22,23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,178.93,129.68,-27.53
India,Chaina p rp,23,24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.32,0.24,-25.66
India,Chaina p rp,24,25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",910.58,785.71,-13.71
India,Chaina p rp,25,26,"ORES, SLAG AND ASH.",3702.13,1942.95,-47.52
India,Chaina p rp,26,27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1173.58,1269.24,8.15
India,Chaina p rp,27,28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",114.70,81.58,-28.88
India,Chaina p rp,28,29,ORGANIC CHEMICALS,1214.73,1263.78,4.04
India,Chaina p rp,29,30,PHARMACEUTICAL PRODUCTS,75.32,85.46,13.46
India,Chaina p rp,30,31,FERTILISERS.,2.63,3.23,22.6
India,Chaina p rp,31,32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",204.01,197.75,-3.07
India,Chaina p rp,32,33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",115.48,105.54,-8.61
India,Chaina p rp,33,34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",27.23,26.63,-2.21
India,Chaina p rp,34,35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,6.03,3.05,-49.38
India,Chaina p rp,35,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,0.18,0.29,59.47
India,Chaina p rp,36,38,MISCELLANEOUS CHEMICAL PRODUCTS.,225.52,205.91,-8.69
India,Chaina p rp,37,39,PLASTIC AND ARTICLES THEREOF.,291.85,276.15,-5.38
India,Chaina p rp,38,40,RUBBER AND ARTICLES THEREOF.,65.06,80.18,23.25
India,Chaina p rp,39,41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,53.50,42.54,-20.5
India,Chaina p rp,40,42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",16.72,16.18,-3.18
India,Chaina p rp,41,43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.07,0.02,-70.84
India,Chaina p rp,42,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,45.11,12.38,-72.56
India,Chaina p rp,43,45,CORK AND ARTICLES OF CORK.,0.03,0.05,47.76
India,Chaina p rp,44,46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.06,0.12,117.48
India,Chaina p rp,45,47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,4.83,3.83,-20.65
India,Chaina p rp,46,48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",55.22,17.67,-68.0
India,Chaina p rp,47,49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.62,1.31,113.11
India,Chaina p rp,48,50,SILK,37.50,29.59,-21.09
India,Chaina p rp,49,51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",1.91,1.89,-1.31
India,Chaina p rp,50,52,COTTON.,924.42,235.74,-74.5
India,Chaina p rp,51,53,OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,97.26,116.69,19.97
India,Chaina p rp,52,54,MAN-MADE FILAMENTS.,9.89,25.50,157.76
India,Chaina p rp,53,55,MAN-MADE STAPLE FIBRES.,22.61,13.73,-39.25
India,Chaina p rp,54,56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",2.66,2.65,-0.66
India,Chaina p rp,55,57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,16.53,18.46,11.69
India,Chaina p rp,56,58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,1.90,2.80,47.37
India,Chaina p rp,57,59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",27.03,26.13,-3.34
India,Chaina p rp,58,60,KNITTED OR CROCHETED FABRICS.,0.24,0.56,138.11
India,Chaina p rp,59,61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",32.82,27.05,-17.56
India,Chaina p rp,60,62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",33.79,32.63,-3.42
India,Chaina p rp,61,63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,13.65,17.17,25.79
India,Chaina p rp,62,64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",78.58,62.37,-20.62
India,Chaina p rp,63,65,HEADGEAR AND PARTS THEREOF.,0.19,0.17,-11.49
India,Chaina p rp,64,66,"UMBRELLAS, SUN UMBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS,RIDING-CROPS AND PARTS THEREOF.",0.00,0.00,21.84
India,Chaina p rp,65,67,PREPARED FEATHERS AND DOWN AND ARTICLES MADE OF FEATHERS OR OF DOWN; ARTIFICIAL FLOWERS; ARTICLES OF HUMAN HAIR.,484.10,469.28,-3.06
India,Chaina p rp,66,68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",9.85,12.01,21.92
India,Chaina p rp,67,69,CERAMIC PRODUCTS.,7.77,9.53,22.71
India,Chaina p rp,68,70,GLASS AND GLASSWARE.,22.81,18.01,-21.03
India,Chaina p rp,69,71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",30.23,25.74,-14.86
India,Chaina p rp,70,72,IRON AND STEEL,455.65,233.82,-48.68
India,Chaina p rp,71,73,ARTICLES OF IRON OR STEEL,94.54,95.07,0.56
India,Chaina p rp,72,74,COPPER AND ARTICLES THEREOF.,338.13,367.76,8.76
India,Chaina p rp,73,75,NICKEL AND ARTICLES THEREOF.,6.30,10.19,61.72
India,Chaina p rp,74,76,ALUMINIUM AND ARTICLES THEREOF.,339.58,212.24,-37.5
India,Chaina p rp,75,78,LEAD AND ARTICLES THEREOF.,0.57,3.51,519.95
India,Chaina p rp,76,79,ZINC AND ARTICLES THEREOF.,1.72,14.92,765.21
India,Chaina p rp,77,80,TIN AND ARTICLES THEREOF.,0.17,0.28,65.5
India,Chaina p rp,78,81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,5.02,7.92,57.88
India,Chaina p rp,79,82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",8.78,8.93,1.81
India,Chaina p rp,80,83,MISCELLANEOUS ARTICLES OF BASE METAL.,8.87,6.76,-23.88
India,Chaina p rp,81,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",960.53,1160.94,20.86
India,Chaina p rp,82,85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",688.59,842.62,22.37
India,Chaina p rp,83,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",5.46,7.82,43.23
India,Chaina p rp,84,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",114.80,146.87,27.94
India,Chaina p rp,85,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",57.00,142.79,150.49
India,Chaina p rp,86,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",0.12,0.01,-90.24
India,Chaina p rp,87,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",229.50,238.79,4.05
India,Chaina p rp,88,91,CLOCKS AND WATCHES AND PARTS THEREOF.,3.37,0.13,-96.0
India,Chaina p rp,89,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,5.86,5.82,-0.8
India,Chaina p rp,90,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",9.75,13.05,33.82
India,Chaina p rp,91,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",3.97,4.59,15.79
India,Chaina p rp,92,96,MISCELLANEOUS MANUFACTURED ARTICLES.,7.24,7.83,8.14
India,Chaina p rp,93,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.01,0.04,233.43
India,Chaina p rp,94,98,PROJECT GOODS; SOME SPECIAL USES.,2.06,0.33,-83.86
India,Chaina p rp,95,99,MISCELLANEOUS GOODS.,0.00,0.00,9.34
India,Colombia,1,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",0.00,0.00,n/a
India,Colombia,2,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.00,0.00,n/a
India,Colombia,3,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.84,1.08,28.6
India,Colombia,4,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,2.79,1.16,-58.25
India,Colombia,5,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,0.54,0.56,4.67
India,Colombia,6,9,"COFFEE, TEA, MATE AND SPICES.",5.99,8.04,34.33
India,Colombia,7,10,CEREALS.,0.19,0.17,-12.46
India,Colombia,8,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.03,0.00,-92.44
India,Colombia,9,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",1.88,2.68,42.36
India,Colombia,10,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.94,0.89,-4.57
India,Colombia,11,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.02,0.01,-50.43
India,Colombia,12,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,0.62,1.26,102.7
India,Colombia,13,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",1.38,1.15,-16.56
